clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized,PCA_Component_1,PCA_Component_2,Cluster_PCA
93.png,5,38041,1384,7.214284855,27.48627148,255,2,-0.738920022,2.036420646,2
96.png,2,38197,1388,7.14117563,27.51945225,255,2,-0.730768882,2.008245435,2
97.png,2,37875,1386,7.226189616,27.32683963,255,2,-0.744086917,2.042066157,2
97.png,3,38042,1384,7.214284855,27.48699402,255,2,-0.738892826,2.036418684,2
97.png,4,38130,1386,7.129410926,27.51082231,255,2,-0.731938816,2.003111759,2
98.png,2,38197,1388,7.14117563,27.51945225,255,2,-0.730768882,2.008245435,2
1.png,1,204801,3162,1.224489773,64.76944951,255,3,2.875776836,0.012578456,3
10.png,3,202395,3258,1.222634486,62.12246758,255,3,2.835283018,0.04158677,3
100.png,1,142697,2196,0.725047067,64.98041865,255,4,1.886209109,-0.43490382,3
100.png,2,142729,2192,0.723684197,65.11359459,255,4,1.887970877,-0.436790018,3
100.png,6,191156,3880,1.240480937,49.26701018,255,3,2.719167824,0.229054129,3
11.png,3,187331,2850,1.480898843,65.73017521,255,4,2.578938424,0.032190987,3
11.png,5,143207,2080,0.723684197,68.8495189,255,4,1.931805208,-0.474644131,3
14.png,1,132004,2852,1.235294087,46.28471232,255,4,1.615424371,-0.024401644,3
14.png,3,132630,2764,1.237745068,47.98480446,255,4,1.620196456,-0.048970088,3
14.png,6,132204,2842,1.235294087,46.51794495,255,4,1.618124255,-0.027381211,3
2.png,1,247406,4526,1.240350855,54.66327871,255,3,3.668414714,0.383545876,3
2.png,2,201466,3300,1.222634486,61.05030285,255,3,2.820797187,0.054369257,3
20.png,4,143360,2082,0.726930306,68.85686807,255,4,1.934145806,-0.472853956,3
21.png,5,143342,2082,0.726930306,68.84822253,255,4,1.93376818,-0.472833084,3
22.png,6,143202,2080,0.725047067,68.84711505,255,4,1.931626745,-0.474096789,3
24.png,1,245669,4610,1.239929926,53.29045542,255,3,3.660313556,0.406440045,3
24.png,5,241827,4389,1.309259235,55.09842776,255,3,3.558870485,0.375659823,3
29.png,1,259085,5104,1.009999986,50.76116761,255,3,3.971691151,0.44253275,3
3.png,1,195646,3920,1.237623738,49.90969375,255,3,2.794730238,0.236900545,3
3.png,2,186932,2858,1.480898843,65.4065778,255,4,2.571194249,0.034925374,3
3.png,4,191917,3878,1.237999975,49.48865382,255,3,2.730571083,0.227203854,3
34.png,2,143597,2086,0.725563896,68.83844646,255,4,1.937803844,-0.472316292,3
35.png,2,143466,2086,0.725563896,68.77564684,255,4,1.935058658,-0.472164791,3
35.png,8,154972,3372,1.234899301,45.95848148,255,3,2.066650958,0.105683466,3
4.png,1,164304,3486,1.241830038,47.13252999,255,3,2.234338351,0.134718565,3
4.png,2,155511,3306,1.239910286,47.03901982,255,3,2.06566753,0.08919224,3
4.png,3,185414,2924,1.480898843,63.41108049,255,4,2.539954398,0.056016192,3
4.png,5,182930,3760,1.240246381,48.65159562,255,3,2.572016007,0.199930532,3
43.png,1,247994,4522,1.239929926,54.84166286,255,3,3.676096493,0.382124147,3
44.png,1,245676,4608,1.240350855,53.31510405,255,3,3.65998073,0.406070018,3
44.png,4,245851,4533,1.243432553,54.23582604,255,3,3.647335441,0.387120597,3
45.png,1,244125,4764,1.242530734,51.24370266,255,3,3.671538187,0.448903473,3
45.png,4,142603,2234,0.725563896,63.83303463,255,4,1.874982736,-0.422223735,3
45.png,5,244658,4634,1.247368399,52.79628819,255,3,3.650521809,0.416100234,3
46.png,1,243605,4798,1.242530734,50.77219664,255,3,3.671993901,0.458038069,3
46.png,5,142425,2252,0.725563896,63.24378302,255,4,1.867349079,-0.416220689,3
46.png,6,243895,4786,1.247368399,50.96009183,255,3,3.673044646,0.456711126,3
47.png,1,241305,5150,1.242530734,46.85533971,255,3,3.728147856,0.550743262,3
47.png,6,142136,2280,0.725563896,62.3403506,255,4,1.855708014,-0.40693151,3
47.png,7,241489,5117,1.247368399,47.19347265,255,3,3.721602726,0.544057054,3
48.png,1,142608,2068,0.728624522,68.95938071,255,4,1.923156005,-0.476055443,3
49.png,1,143456,2084,0.725563896,68.83685188,255,4,1.935539681,-0.47283051,3
49.png,2,141226,2050,0.739130421,68.89073137,255,4,1.899840632,-0.476377792,3
5.png,2,134161,2922,1.235436863,45.91409977,255,4,1.659682758,-0.006133538,3
5.png,3,186009,2900,1.480898843,64.14103426,255,4,2.551797214,0.048351056,3
5.png,5,132300,2756,1.238329208,48.00435396,255,4,1.613798319,-0.050779759,3
