clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized
59.png,1,38107,1386,7.129410926,27.4942278,255,2
59.png,3,38169,1386,7.129410926,27.53896084,255,2
64.png,1,37919,1384,7.214284855,27.39812119,255,2
64.png,4,38095,1386,7.129410926,27.48556979,255,2
65.png,2,38272,1388,7.14117563,27.57348683,255,2
66.png,3,38272,1388,7.14117563,27.57348683,255,2
67.png,4,38256,1388,7.14117563,27.56195946,255,2
68.png,4,38220,1388,7.14117563,27.53602286,255,2
68.png,5,38004,1386,7.226189616,27.41991322,255,2
69.png,3,38065,1388,7.14117563,27.42435139,255,2
69.png,5,38126,1388,7.14117563,27.46829951,255,2
69.png,6,38068,1388,7.14117563,27.42651277,255,2
69.png,7,37942,1386,7.226189616,27.37518018,255,2
70.png,4,34456,1342,7.158535712,25.67511158,255,2
71.png,3,34423,1342,7.158535712,25.65052142,255,2
72.png,3,34414,1342,7.158535712,25.64381501,255,2
72.png,4,38196,1386,7.129410926,27.55844136,255,2
73.png,3,34385,1342,7.158535712,25.62220547,255,2
73.png,4,38168,1386,7.129410926,27.53823934,255,2
73.png,5,38082,1386,7.129410926,27.47619028,255,2
74.png,3,34423,1342,7.158535712,25.65052142,255,2
75.png,3,34414,1342,7.158535712,25.64381501,255,2
78.png,4,38293,1388,7.14117563,27.58861652,255,2
79.png,4,38198,1388,7.14117563,27.52017271,255,2
79.png,5,38110,1388,7.14117563,27.45677214,255,2
80.png,5,38065,1388,7.14117563,27.42435139,255,2
80.png,6,37944,1386,7.226189616,27.37662318,255,2
81.png,3,38062,1388,7.14117563,27.42219,255,2
82.png,5,37897,1384,7.214284855,27.38222524,255,2
83.png,5,37894,1384,7.214284855,27.38005761,255,2
83.png,6,37882,1384,7.214284855,27.37138709,255,2
84.png,4,37992,1384,7.214284855,27.45086685,255,2
84.png,5,38011,1386,7.226189616,27.42496373,255,2
85.png,5,37894,1384,7.214284855,27.38005761,255,2
85.png,6,37882,1384,7.214284855,27.37138709,255,2
86.png,4,37924,1384,7.214284855,27.40173391,255,2
86.png,5,37921,1384,7.214284855,27.39956628,255,2
87.png,4,37986,1386,7.226189616,27.40692621,255,2
88.png,3,38161,1386,7.226189616,27.53318883,255,2
89.png,4,38067,1384,7.214284855,27.5050576,255,2
90.png,4,38041,1384,7.214284855,27.48627148,255,2
91.png,5,38041,1384,7.214284855,27.48627148,255,2
92.png,7,38023,1384,7.214284855,27.4732657,255,2
93.png,5,38041,1384,7.214284855,27.48627148,255,2
96.png,2,38197,1388,7.14117563,27.51945225,255,2
97.png,2,37875,1386,7.226189616,27.32683963,255,2
97.png,3,38042,1384,7.214284855,27.48699402,255,2
97.png,4,38130,1386,7.129410926,27.51082231,255,2
98.png,2,38197,1388,7.14117563,27.51945225,255,2
1.png,1,204801,3162,1.224489773,64.76944951,255,3
10.png,3,202395,3258,1.222634486,62.12246758,255,3
100.png,6,191156,3880,1.240480937,49.26701018,255,3
2.png,1,247406,4526,1.240350855,54.66327871,255,3
2.png,2,201466,3300,1.222634486,61.05030285,255,3
24.png,1,245669,4610,1.239929926,53.29045542,255,3
24.png,5,241827,4389,1.309259235,55.09842776,255,3
29.png,1,259085,5104,1.009999986,50.76116761,255,3
3.png,1,195646,3920,1.237623738,49.90969375,255,3
3.png,4,191917,3878,1.237999975,49.48865382,255,3
35.png,8,154972,3372,1.234899301,45.95848148,255,3
4.png,1,164304,3486,1.241830038,47.13252999,255,3
4.png,2,155511,3306,1.239910286,47.03901982,255,3
4.png,5,182930,3760,1.240246381,48.65159562,255,3
43.png,1,247994,4522,1.239929926,54.84166286,255,3
44.png,1,245676,4608,1.240350855,53.31510405,255,3
44.png,4,245851,4533,1.243432553,54.23582604,255,3
45.png,1,244125,4764,1.242530734,51.24370266,255,3
45.png,5,244658,4634,1.247368399,52.79628819,255,3
46.png,1,243605,4798,1.242530734,50.77219664,255,3
46.png,6,243895,4786,1.247368399,50.96009183,255,3
47.png,1,241305,5150,1.242530734,46.85533971,255,3
47.png,7,241489,5117,1.247368399,47.19347265,255,3
54.png,1,247323,4538,1.238178612,54.5004406,255,3
55.png,1,246744,4582,1.238178612,53.85072009,255,3
56.png,1,246030,4592,1.238178612,53.57796156,255,3
6.png,4,180940,3046,1.478651652,59.40249488,255,3
6.png,5,189547,3616,0.720610676,52.41897109,255,3
63.png,3,245855,4586,1.240350855,53.60989958,255,3
7.png,2,203368,3194,1.222634486,63.67188458,255,3
8.png,2,202006,3276,1.222634486,61.66239297,255,3
81.png,1,193121,3774,1.237999975,51.17143601,255,3
81.png,2,201463,3300,1.222634486,61.04939375,255,3
82.png,1,192599,3822,1.240480937,50.3922029,255,3
83.png,1,192452,3836,1.240480937,50.16996859,255,3
84.png,3,202879,3204,1.222634486,63.32053663,255,3
86.png,3,201463,3300,1.222634486,61.04939375,255,3
87.png,3,202395,3258,1.222634486,62.12246758,255,3
89.png,1,193633,3738,1.240480937,51.80123047,255,3
9.png,2,202879,3204,1.222634486,63.32053663,255,3
90.png,1,193404,3758,1.240480937,51.4646087,255,3
91.png,1,193404,3758,1.240480937,51.4646087,255,3
92.png,1,193255,3762,1.240480937,51.37028163,255,3
97.png,7,191665,3870,1.240480937,49.52583967,255,3
98.png,5,192111,3856,1.240480937,49.8213173,255,3
99.png,5,191479,3866,1.240480937,49.52897038,255,3
100.png,1,142697,2196,0.725047067,64.98041865,255,4
100.png,2,142729,2192,0.723684197,65.11359459,255,4
11.png,3,187331,2850,1.480898843,65.73017521,255,4
11.png,5,143207,2080,0.723684197,68.8495189,255,4
14.png,1,132004,2852,1.235294087,46.28471232,255,4
14.png,3,132630,2764,1.237745068,47.98480446,255,4
14.png,6,132204,2842,1.235294087,46.51794495,255,4
20.png,4,143360,2082,0.726930306,68.85686807,255,4
21.png,5,143342,2082,0.726930306,68.84822253,255,4
22.png,2,121937,2326,1.23711337,52.42347355,255,4
22.png,6,143202,2080,0.725047067,68.84711505,255,4
3.png,2,186932,2858,1.480898843,65.4065778,255,4
34.png,2,143597,2086,0.725563896,68.83844646,255,4
